"Index" "neutrons" "muons" "gamma" "integration_time.s." "V_in.Volt." "temperature_in..C." "temperature_ext..C." "ur..." "pressure.hPa." "N_jung" "fi" "fp" "Nc" "Nc_SGF" "SM"
"2023-03-28 00:00:00" 636 3444 0 3619 12.9 12 0 0 1010.3 152.599 1.00473632328339 1.01179425605395 646.548976315025 665.611350979876 0.216261522412076
"2023-03-28 01:00:00" 669 3518 0 3619 12.6 9.9 0 0 1012.1 152.708 1.00401916203946 1.02573070947708 688.971849275496 664.729424081637 0.217380801779528
"2023-03-28 02:00:00" 572 3298 0 3619 12.5 8.7 0 0 1013.5 152.515 1.00528969738531 1.03670275198052 596.130732807336 663.068063343849 0.219507707001129
"2023-03-28 03:00:00" 658 3455 0 3611 12.6 7.1 0 0 1014.1 153.596 0.998214525096495 1.04144091132257 684.044590620445 663.99855094032 0.218313497656857
"2023-03-28 04:00:00" 619 3284 0 3612 12.3 5.8 0 0 1014.1 153.407 0.999444342153365 1.04144091132257 644.293718208693 665.680779770541 0.216173693730405
"2023-03-28 05:00:00" 610 3469 0 3613 12.7 4.3 0 0 1014.5 153.34 0.999881036890057 1.04461170886332 637.137337549507 666.097002253999 0.215648034199588
"2023-03-28 06:00:00" 630 3344 0 3614 12.8 4.1 0 0 1015.4 154.228 0.994124012479714 1.0517813451551 658.728687391049 667.804706561976 0.213506810085258
"2023-03-28 07:00:00" 651 3408 0 3615 12.4 10.8 0 0 1016.3 154.711 0.991020407060398 1.05900018986005 683.218510300125 668.66574300271 0.212436538040908
"2023-03-28 08:00:00" 625 3281 0 3612 12.7 17.7 0 0 1017 154.489 0.992444498939868 1.06464908360436 660.378203952827 668.269890382221 0.212927811991879
"2023-03-28 09:00:00" 645 3274 0 3617 14.2 21.7 0 0 1017.7 155.051 0.988847270876817 1.07032810954397 682.662214392119 669.078302259338 0.211925923554247
"2023-03-28 10:00:00" 654 3301 0 3618 14.1 24.3 0 0 1018.4 155.359 0.986886876181755 1.07603742840932 694.500399510898 669.86737422771 0.210953248283956
"2023-03-28 11:00:00" 653 3302 0 3611 14.1 26.7 0 0 1019 154.874 0.989977389340505 1.08095536345297 698.789253764225 670.498311388024 0.210179202908303
"2023-03-28 12:00:00" 676 3456 0 3615 13.8 26 0 0 1018.9 155.102 0.988522122195209 1.08013414947758 721.789875147237 671.233842582635 0.209280960330388
"2023-03-28 13:00:00" 588 3326 0 3613 13.4 24.3 0 0 1018.9 154.88 0.989939037943707 1.08013414947758 628.728972940981 672.056583734069 0.208281433446813
"2023-03-28 14:00:00" 609 3364 0 3615 13.2 24.2 0 0 1018.6 155.216 0.987796091876619 1.07767424896898 648.294148571607 672.429537377181 0.207830145022668
"2023-03-28 15:00:00" 623 3438 0 3613 14.2 26.9 0 0 1018.2 154.574 0.991898755267518 1.07440309392701 663.93053401806 673.542177381251 0.206490440250539
